$$$	Affordable	Bargain
Beneficiary	Best price	Big bucks 
Cash	Cash bonus 	Cashcashcash
Cents on the dollar 	Cheap	Check
Claims	Collect	Compare rates
Cost	Credit	Credit bureaus 
Discount	Earn	Easy terms 
F r e e	Fast cash	For just $XXX
Hidden assets 	hidden charges	Income
Incredible deal	Insurance 	Investment
Loans	Lowest price 	Million dollars
Money	Money back	Mortgage
Mortgage rates 	No cost	No fees 
One hundred percent free 	Only $ 	Pennies a day 
Price	Profits 	Pure profit
Quote	Refinance	Save $
Save big money	Save up to	Serious cash
Subject to credit	They keep your money -- no refund! 	Unsecured credit
Unsecured debt	US dollars	Why pay more? 
